snappy.cc,1860,low,"method 'GetBase' can be made static",readability-convert-member-functions-to-static
snappy.cc,1873,low,"method 'TryFastAppend' can be made static",readability-convert-member-functions-to-static
snappy.cc,1886,low,"integer literal has suffix 'u', which is not uppercase",readability-uppercase-literal-suffix
snappy.cc,2083,low,"integer literal has suffix 'u', which is not uppercase",readability-uppercase-literal-suffix
snappy.cc,2113,low,"method 'Allocate' can be made static",readability-convert-member-functions-to-static
snappy.cc,2124,low,"method 'Flush' can be made static",readability-convert-member-functions-to-static
snappy.cc,2137,low,"member variable 'data' has public visibility",misc-non-private-member-variables-in-classes
snappy.cc,2138,low,"member variable 'size' has public visibility",misc-non-private-member-variables-in-classes
snappy_benchmark.cc,84,low,"do not declare C-style arrays, use std::array<> instead",cppcoreguidelines-avoid-c-arrays
snappy_benchmark.cc,84,low,"member variable 'zcontents' has public visibility",misc-non-private-member-variables-in-classes
snappy_benchmark.cc,85,low,"do not declare C-style arrays, use std::array<> instead",cppcoreguidelines-avoid-c-arrays
snappy_benchmark.cc,85,low,"member variable 'sizes' has public visibility",misc-non-private-member-variables-in-classes
snappy_benchmark.cc,86,low,"member variable 'max_size' has public visibility",misc-non-private-member-variables-in-classes
snappy_benchmark.cc,167,low,"do not declare C-style arrays, use std::array<> instead",cppcoreguidelines-avoid-c-arrays
snappy_compress_fuzzer.cc,31,low,"inclusion of deprecated C++ header 'stddef.h'; consider using 'cstddef' instead",hicpp-deprecated-headers
snappy_compress_fuzzer.cc,32,low,"inclusion of deprecated C++ header 'stdint.h'; consider using 'cstdint' instead",hicpp-deprecated-headers
snappy_uncompress_fuzzer.cc,31,low,"inclusion of deprecated C++ header 'stddef.h'; consider using 'cstddef' instead",hicpp-deprecated-headers
snappy_uncompress_fuzzer.cc,32,low,"inclusion of deprecated C++ header 'stdint.h'; consider using 'cstdint' instead",hicpp-deprecated-headers
